bin_left,bin_right,count
3.12575e-16,2.02974e-14,1
2.02974e-14,4.02822e-14,0
4.02822e-14,6.02671e-14,1
6.02671e-14,8.02519e-14,3
8.02519e-14,1.00237e-13,1
1.00237e-13,1.20222e-13,2
1.20222e-13,1.40206e-13,3
1.40206e-13,1.60191e-13,2
1.60191e-13,1.80176e-13,2
1.80176e-13,2.00161e-13,1
2.00161e-13,2.20146e-13,5
2.20146e-13,2.40131e-13,4
2.40131e-13,2.60115e-13,2
2.60115e-13,2.801e-13,3
2.801e-13,3.00085e-13,1
3.00085e-13,3.2007e-13,6
3.2007e-13,3.40055e-13,3
3.40055e-13,3.6004e-13,3
3.6004e-13,3.80024e-13,4
3.80024e-13,4.00009e-13,4
4.00009e-13,4.19994e-13,4
4.19994e-13,4.39979e-13,5
4.39979e-13,4.59964e-13,4
4.59964e-13,4.79949e-13,5
4.79949e-13,4.99933e-13,11
