bin_left,bin_right,count
3.12575e-16,2.02974e-14,2
2.02974e-14,4.02822e-14,3
4.02822e-14,6.02671e-14,2
6.02671e-14,8.02519e-14,5
8.02519e-14,1.00237e-13,5
1.00237e-13,1.20222e-13,5
1.20222e-13,1.40206e-13,7
1.40206e-13,1.60191e-13,6
1.60191e-13,1.80176e-13,7
1.80176e-13,2.00161e-13,7
2.00161e-13,2.20146e-13,8
2.20146e-13,2.40131e-13,7
2.40131e-13,2.60115e-13,9
2.60115e-13,2.801e-13,10
2.801e-13,3.00085e-13,4
3.00085e-13,3.2007e-13,10
3.2007e-13,3.40055e-13,4
3.40055e-13,3.6004e-13,6
3.6004e-13,3.80024e-13,9
3.80024e-13,4.00009e-13,7
4.00009e-13,4.19994e-13,11
4.19994e-13,4.39979e-13,10
4.39979e-13,4.59964e-13,9
4.59964e-13,4.79949e-13,15
4.79949e-13,4.99933e-13,32
